development-1	True	False
development-2	True	False
development-3	False	True
development-4	False	False
development-5	False	False
development-6	False	True
development-7	False	False
development-8	True	False
development-9	True	False
development-10	True	False
development-11	False	False
development-12	True	True
development-13	True	False
development-14	True	False
development-15	True	False
development-16	True	False
development-17	True	False
development-18	False	False
development-19	False	False
development-20	False	True
development-21	False	True
development-22	True	False
development-23	True	False
development-24	False	True
development-25	True	False
development-26	True	False
development-27	False	False
development-28	True	False
development-29	True	False
development-30	True	False
development-31	True	False
development-32	False	False
development-33	True	False
development-34	True	False
development-35	True	False
development-36	True	False
development-37	True	False
development-38	True	False
development-39	True	False
development-40	True	False
development-41	False	False
development-42	True	False
development-43	True	False
development-44	False	False
development-45	True	False
development-46	True	False
development-47	True	False
development-48	False	False
development-49	False	False
development-50	False	False
development-51	False	True
development-52	False	False
development-53	False	False
development-54	False	False
development-55	False	False
development-56	False	False
development-57	True	True
development-58	True	False
development-59	True	False
development-60	True	False
development-61	False	False
development-62	False	False
development-63	True	False
development-64	False	True
development-65	False	False
development-66	False	True
development-67	True	False
development-68	False	False
development-69	True	False
development-70	False	False
development-71	True	False
development-72	True	False
development-73	False	True
development-74	True	False
development-75	False	False
development-76	False	False
development-77	False	False
development-78	False	False
development-79	False	True
development-80	True	False
development-81	False	False
development-82	True	False
development-83	True	False
development-84	False	True
development-85	False	False
development-86	True	False
development-87	True	False
development-88	False	True
development-89	False	False
development-90	False	True
development-91	True	False
development-92	False	False
development-93	True	False
development-94	True	False
development-95	False	False
development-96	True	False
development-97	False	False
development-98	False	False
development-99	True	False
development-100	True	False
development-101	True	False
development-102	True	False
development-103	True	True
development-104	True	False
development-105	True	False
development-106	False	False
development-107	True	False
development-108	True	False
development-109	False	True
development-110	True	False
development-111	True	False
development-112	True	False
development-113	False	False
development-114	False	True
development-115	False	False
development-116	True	False
development-117	False	False
development-118	True	False
development-119	False	False
development-120	True	False
development-121	False	False
development-122	False	False
development-123	False	True
development-124	False	True
development-125	True	False
development-126	False	True
development-127	False	True
development-128	True	False
development-129	True	False
development-130	True	False
development-131	False	True
development-132	True	False
development-133	True	False
development-134	False	False
development-135	True	False
development-136	False	False
development-137	True	False
development-138	False	False
development-139	True	False
development-140	False	False
development-141	True	False
development-142	False	False
development-143	True	False
development-144	False	False
development-145	True	True
development-146	True	False
development-147	False	False
development-148	True	False
development-149	True	False
